"Index","AA","AXP","BA","BAC","CAT","CSCO","CVX","DD","DIS","GE","HD","HPQ","IBM","INTC","JNJ","JPM","KFT","KO","MCD","MMM","MRK","MSFT","PFE","PG","T","TRV","UTX","VZ","WMT","XOM"
2006-01-03,26.84,47.88,62.75,39.41,50.82,17.45,50.14,35.1,23.05,29.26,35.52,27.66,75.5,22.44,53.33,35.64,23.39,35.3,28.99,69.23,26.56,24.53,18.71,51.8,18.82,40.56,50.85,22.16,42.03,52.65
2006-01-04,27,47.42,63.4,39,52.12,17.85,50,34.91,22.66,29.22,34.87,28.47,75.39,22.74,54.16,35.43,23.31,35.23,29.25,68.88,26.87,24.65,19.31,51.89,18.96,41.01,50.55,22.81,42.12,52.74
2006-01-05,27.21,47.92,62.65,39.05,52.12,18.35,49.39,34.84,23.06,29.15,34.53,28.27,75.9,23.05,53.93,35.54,23.21,35.41,29.28,68.25,26.91,24.67,19.34,51.72,19,41.41,50.36,23.07,41.54,52.48
2006-01-06,27.12,48.08,61.78,38.99,53.15,18.77,50.28,34.99,23.37,29.35,34.78,29.07,78.15,23.09,54.17,35.79,23.07,35.74,29.46,68.81,26.86,24.6,19.55,51.67,19.24,41.64,50.52,23.16,41.72,53.51
2006-01-09,27.44,49.28,61.26,39.01,54.12,19.06,50.03,34.78,23.62,29.27,35.16,29.44,77.03,23.23,54.51,36.37,22.95,35.91,30.02,69.15,27.3,24.55,19.55,52.06,19.31,41.66,51.09,23.26,41.56,53.49
2006-01-10,26.57,49.13,61.56,38.69,53.9,18.97,50.28,34.69,23.92,29.11,36.01,29.59,77.34,22.92,54.61,36.42,22.91,35.95,30.05,68.72,27.03,24.68,19.23,51.86,19.2,41.36,51.13,23.36,41.7,53.9
2006-01-11,26.21,48.87,62.45,38.59,53.93,19.4,50.79,33.54,24.14,29.31,37,30.13,77.44,22.94,54.09,36.4,23.2,35.97,30.56,68.58,27.14,24.94,19.47,52.04,19.35,42.03,50.36,23.64,42.34,54.27
2006-01-12,25.86,48.88,62.08,38.34,54.7,19.2,50.83,32.8,24.22,28.96,36.65,29.82,76.88,22.79,53.84,35.72,24.1,35.77,30.09,67.99,27.15,24.81,19.34,51.47,19.27,41.78,49.89,23.72,41.59,53.7
2006-01-13,25.99,48.78,61.9,38.34,54.81,18.92,51.23,32.67,24.28,29.04,36.1,30.67,76.52,22.63,53.5,35.7,23.93,35.66,29.81,67.82,27.15,24.85,19.41,51.9,19.29,41.67,50.07,23.78,41.28,54.9
2006-01-17,26.14,48.34,61.19,37.93,55.36,18.68,52.5,32.57,23.97,28.91,35.81,30.44,76.36,22.39,53.03,35.51,24.01,35.41,29.92,67.46,26.94,24.67,19.1,51.68,19.17,40.95,50.36,23.26,40.87,55.41
